Summary,Issue key,Issue id,Issue Type,Status,Priority,Resolution,Assignee,Created,Updated,Resolved,Predicted Priority
Notifications (bullhorns) need an improved workflow for setting up browser push permissions.,SAK-50050,67575,Bug,Closed,Blocker,Fixed,Adrian Fish,02-05-2024 07:04,18-07-2024 17:08,14-05-2024 03:04,major
Unexpected end of JSON input at SakaiRubricAssociation.js,SAK-50009,67534,Bug,Closed,Major,Fixed,Sam Ottenhoff,25-04-2024 09:53,01-05-2024 04:33,26-04-2024 10:42,major
LTI-Assignments: Instructor is no longer able to grade lti assignment submission,SAK-49964,67489,Bug,Closed,Blocker,Fixed,Adrian Fish,13-04-2024 11:03,19-04-2024 19:13,17-04-2024 17:18,major
Resources Scrolling issue when selecting from other site,SAK-49764,67291,Bug,Closed,Major,Fixed,kunaljaykam,16-02-2024 03:25,10-03-2024 10:56,20-02-2024 12:48,major
Bulk Membership: Removal of user doe not work in an official site,SAK-50149,67674,Bug,Resolved,Critical,Non-Issue,Bernardo Garcia Vila,26-05-2024 21:15,30-05-2024 18:27,30-05-2024 18:27,critical
T&Q: Show historical change for question in question pool,SAK-49591,67117,Feature Request,Verified,Major,Fixed,Manu Fuster,21-12-2023 03:13,10-01-2024 07:32,08-01-2024 08:25,major
Dashboard tool should be more explicit about flex layout,SAK-50319,67846,Bug,Closed,Major,Fixed,Adrian Fish,22-07-2024 13:18,30-07-2024 12:51,23-07-2024 10:24,major
T&Q: NPE when trying to import an xml file to the Question Pool,SAK-49405,66929,Bug,Verified,Blocker,Fixed,Jesus Maria Mendez Perez,25-10-2023 18:21,13-11-2023 17:11,08-11-2023 02:32,blocker
User prefs tool error during startup,SAK-49903,67431,Bug,Closed,Major,Fixed,Earle Nietzel,28-03-2024 15:10,02-06-2024 11:48,28-03-2024 21:46,major
Tests and Quizzes: Groups to which the TA doe not belong should not be displayed on the selector Who can access this assessment?,SAK-50216,67743,Bug,Resolved,Major,Fixed,Jesus Maria Mendez Perez,14-06-2024 03:59,02-07-2024 11:21,02-07-2024 11:21,major
Assignments: Originality Service Name missing from Grader,SAK-50078,67603,Bug,Closed,Major,Fixed,Manu Fuster,09-05-2024 05:09,11-05-2024 11:07,09-05-2024 16:08,major
AssignmentEntityProvider.getGradableForSite return an http 500 when encountering invalid attachment,SAK-49315,66839,Bug,Closed,Major,Fixed,Earle Nietzel,27-09-2023 18:21,03-10-2023 10:14,28-09-2023 11:08,major
Hidden site tool are unnavigable a they don't appear in nav,SAK-49630,67156,Bug,Closed,Major,Fixed,Earle Nietzel,10-01-2024 14:11,01-02-2024 16:57,15-01-2024 16:01,major
View As: Uncaught (in promise) ReferenceError: getBrowserFingerprint is not defined console error,SAK-49759,67286,Bug,Closed,Major,Incorporated,Adrian Fish,14-02-2024 18:56,25-03-2024 11:13,20-03-2024 15:00,major
Gradebook: Extra credit warning is not readable in dark mode.,SAK-49784,67311,Bug,Closed,Minor,Fixed,Matthew Jones,25-02-2024 08:54,09-05-2024 19:36,08-04-2024 15:27,minor
Lessons: omitting the title when adding a sub page lock the whole screen,SAK-49422,66946,Bug,Resolved,Major,Cannot Reproduce,Core Team,03-11-2023 17:15,13-02-2024 15:01,13-02-2024 15:01,major
Dashboard: Edit Dashboard > Image fails on first attempt,SAK-49325,66849,Bug,Verified,Major,Duplicate,Adrian Fish,01-10-2023 09:42,29-12-2023 12:30,02-10-2023 14:17,major
Sometimes some answer are interchanged when clicking Solution - S2U-10,SAK-49575,67100,Bug,Verified,Major,Fixed,Jesus Maria Mendez Perez,14-12-2023 09:52,08-03-2024 06:52,19-12-2023 06:34,major
LTI 1.1 Test Tool doe not delete the grade,SAK-49838,67365,Bug,Closed,Critical,Fixed,Shivangi Kumar,13-03-2024 19:56,09-06-2024 10:04,23-04-2024 14:02,critical
"Plus-samigo, 2 servers, student end up in plus site after quiz submission with no way to get back to the main site",SAK-49455,66979,Bug,Resolved,Critical,Won't Do,Charles R Severance,15-11-2023 21:43,11-06-2024 17:18,11-06-2024 17:18,critical
toolTitles in portal head need to be escaped if using quote,SAK-50310,67837,Bug,Closed,Major,Fixed,Sam Ottenhoff,19-07-2024 14:31,29-07-2024 18:29,23-07-2024 10:30,major
"Content: Cannot download selected ZIP file for site with comma, colon or semicolon in the title",SAK-49509,67034,Bug,Closed,Critical,Fixed,Miguel Pellicer,28-11-2023 11:15,20-02-2024 05:17,29-11-2023 02:38,critical
Forums: Option for read-only after close date doe not import,SAK-49981,67506,Bug,Closed,Major,Fixed,Sean Horner,18-04-2024 16:22,14-05-2024 19:21,30-04-2024 11:02,major
Webcomponents: Build is broken in Master.,SAK-49448,66972,Bug,Verified,Blocker,Fixed,Adrian Fish,14-11-2023 02:13,02-04-2024 10:07,04-12-2023 12:54,blocker
Reset Pass instruction should be unescaped to allow for HTML,SAK-50328,67855,Bug,Resolved,Major,Fixed,Sam Ottenhoff,25-07-2024 13:36,26-07-2024 18:19,26-07-2024 18:19,major
Externalize fullCalendar configuration,SAK-49494,67019,Feature Request,Closed,Major,Fixed,Daniel Merino,23-11-2023 07:09,08-03-2024 12:17,05-12-2023 04:49,major
When editing Preferences lock are not being cleared,SAK-49358,66882,Bug,Closed,Major,Fixed,Earle Nietzel,11-10-2023 10:47,23-02-2024 21:24,13-10-2023 09:40,major
Lessons: Page layout checklist include custom CSS,SAK-49896,67424,Bug,Closed,Major,Fixed,Matthew Jones,27-03-2024 15:26,17-07-2024 02:59,10-04-2024 17:24,major
Plus-samigo in iframe console errors: Uncaught DOMException: Permission denied to access property "document" on cross-origin object,SAK-49501,67026,Bug,Resolved,Major,Won't Do,Charles R Severance,27-11-2023 19:31,11-06-2024 17:16,11-06-2024 17:16,major
Severe critical error during deployment with Tomcat 9.0.87,SAK-49865,67392,Bug,Resolved,Critical,Cannot Reproduce,Matthew Jones,22-03-2024 09:37,20-06-2024 03:38,16-04-2024 14:15,critical
Contrast Issues with Lessons Subpage Button Text,SAK-49342,66866,Bug,Closed,Major,Fixed,kunaljaykam,05-10-2023 16:16,07-11-2023 19:12,02-11-2023 03:46,major
Dont fetch /api/users/undefined/grades,SAK-49388,66912,Bug,Closed,Major,Fixed,Adrian Fish,19-10-2023 15:01,23-04-2024 16:41,28-12-2023 11:13,major
Update Apache Commons IO 2.15.0,SAK-49408,66932,Bug,Closed,Major,Fixed,David Horwitz,26-10-2023 09:03,25-07-2024 23:39,31-10-2023 11:14,major
Remove My Connections from the user's (avatar) drop down menu,SAK-49583,67109,Improvement,Resolved,Major,Incorporated,Earle Nietzel,19-12-2023 12:32,19-12-2023 12:36,19-12-2023 12:33,major
Site Info: Tool reordering UX regression,SAK-49955,67481,Bug,Closed,Critical,Fixed,Matthew Jones,11-04-2024 18:04,11-05-2024 10:22,06-05-2024 10:46,critical
Messages: Avoid creating an empty second line of the original message,SAK-49796,67323,Bug,Closed,Minor,Fixed,Juan David Massanet Puentes,29-02-2024 08:04,02-05-2024 02:02,26-03-2024 10:43,minor
"T&Q: Report question pool event (Add, copy, move, grant, revoke)",SAK-49480,67004,Feature Request,Verified,Minor,Fixed,Miguel Pellicer,20-11-2023 05:19,08-01-2024 08:01,21-11-2023 02:48,minor
Add redirect to /portal in the new ROOT webapp,SAK-50129,67654,Bug,Resolved,Major,Fixed,Charles R Severance,22-05-2024 13:44,29-05-2024 11:59,23-05-2024 07:42,major
Upgrade Apache Ignite to 2.16.0,SAK-50168,67695,Improvement,Resolved,Major,Fixed,Earle Nietzel,29-05-2024 16:05,30-05-2024 10:35,30-05-2024 10:35,major
Grader/Rubrics: Retaining criterion comment from previous student,SAK-50010,67535,Bug,Closed,Blocker,Fixed,Adrian Fish,25-04-2024 12:09,30-07-2024 12:21,17-07-2024 08:07,blocker
Admin: Importing multiple user via CSV fails,SAK-50113,67638,Bug,Resolved,Blocker,Incorporated,Earle Nietzel,17-05-2024 15:39,30-05-2024 17:41,30-05-2024 17:41,blocker
Webcomponents: do not fire /api/users/me/grades until clicked,SAK-50000,67525,Bug,Closed,Blocker,Fixed,Earle Nietzel,23-04-2024 16:40,03-05-2024 17:56,01-05-2024 18:29,blocker
Update Apache Poi 5.3.0,SAK-50275,67802,Bug,Resolved,Major,Fixed,David Horwitz,03-07-2024 00:17,15-07-2024 19:08,03-07-2024 18:03,major
"Remove mycalendar, sitemembers, sitedescription widget from core",SAK-50161,67687,Bug,Resolved,Major,Fixed,Adrian Fish,28-05-2024 12:53,04-06-2024 12:14,04-06-2024 12:14,major
Gradebook: Quick Entry console error Cannot read property of null (reading 'removeAttribute'),SAK-50170,67697,Bug,Verified,Major,Fixed,Sam Ottenhoff,29-05-2024 19:58,04-06-2024 19:49,30-05-2024 10:58,major
View Site As not working for Unpublished Sites,SAK-49597,67123,Bug,Closed,Major,Fixed,kunaljaykam,22-12-2023 13:29,26-05-2024 20:39,12-01-2024 09:27,major
Update Apache common lang 3.15.0,SAK-50312,67839,Bug,Resolved,Major,Fixed,David Horwitz,20-07-2024 01:14,23-07-2024 10:11,23-07-2024 10:11,major
Lessons: NPE when importing lesson from a site,SAK-49522,67047,Bug,Closed,Critical,Won't Fix,Miguel Pellicer,30-11-2023 06:10,14-12-2023 09:17,30-11-2023 06:28,critical
Conversations: Users unable to reply to topic - Uncaught TypeError: document.getElementById(...).getContent is not a function,SAK-49843,67370,Bug,Verified,Blocker,Fixed,Adrian Fish,16-03-2024 11:01,06-04-2024 08:59,22-03-2024 06:57,blocker
DA returning two user if the user is internal and external,SAK-50173,67700,Bug,Closed,Major,Fixed,Sam Ottenhoff,30-05-2024 13:33,07-06-2024 11:43,31-05-2024 11:58,major
Use modern no-cache header,SAK-49840,67367,Bug,Resolved,Major,Fixed,Sam Ottenhoff,14-03-2024 13:51,18-03-2024 06:35,18-03-2024 06:35,major
Restore FontAwesome in Sakai 23 - Also restore the RTE FontAwesome Plug In,SAK-49457,66981,Bug,Resolved,Blocker,Non-Issue,kunaljaykam,16-11-2023 08:55,18-11-2023 11:42,18-11-2023 11:42,blocker
T&Q Ability to export the student score,SAK-49472,66996,Feature Request,Verified,Major,Fixed,Miguel Pellicer,17-11-2023 06:09,13-03-2024 04:34,14-12-2023 05:01,major
Plus-Single tool: iframe and new window not resizing a page change in samigo,SAK-49468,66992,Bug,Closed,Blocker,Fixed,Charles R Severance,16-11-2023 20:46,29-11-2023 18:27,26-11-2023 17:36,critical
SakaiPlus - Remove "Single Tool Support",SAK-50165,67691,Bug,Verified,Major,Fixed,Charles R Severance,28-05-2024 19:53,11-06-2024 17:22,10-06-2024 10:15,major
Grader: UX issue when removing and revising comment,SAK-50178,67705,Bug,Closed,Critical,Fixed,Adrian Fish,30-05-2024 19:59,26-06-2024 18:44,18-06-2024 09:31,critical
Test and quizzes: Next and previous button on test list doe not follow dark mode,SAK-49849,67376,Bug,Closed,Minor,Fixed,kunaljaykam,18-03-2024 19:36,08-06-2024 20:39,28-05-2024 11:24,minor
Libsass support for arm64 (apple silicon),SAK-50174,67701,Bug,Resolved,Major,Fixed,Earle Nietzel,30-05-2024 13:39,02-07-2024 02:08,30-05-2024 13:57,major
Overview: Some text not clear on darkmode in ?manage overview?,SAK-49684,67211,Bug,Verified,Major,Fixed,kunaljaykam,28-01-2024 17:29,18-07-2024 15:35,12-04-2024 10:16,major
Tests & Quizzes: Not all global variable are exported on the xml - S2U-11,SAK-49580,67105,Bug,Resolved,Major,Fixed,Jesus Maria Mendez Perez,18-12-2023 13:40,28-03-2024 03:15,19-12-2023 06:12,major
"Release Grades doe not work consistently across old grader, new grader, upload all",SAK-49766,67293,Bug,Verified,Major,Fixed,Earle Nietzel,16-02-2024 11:44,24-04-2024 07:59,29-02-2024 16:58,major
Re-apply webcomponent mod made before empathise merge,SAK-49923,67450,Bug,Verified,Major,Fixed,Sam Ottenhoff,03-04-2024 11:43,06-04-2024 09:20,03-04-2024 14:21,major
Library Import Font Awesome-4 with SASS Math Compatibility,SAK-50087,67612,Bug,Resolved,Major,Fixed,kunaljaykam,12-05-2024 05:57,03-06-2024 06:09,03-06-2024 06:09,major
Web link doe not display correctly in Dark Mode,SAK-49318,66842,Bug,Closed,Major,Fixed,kunaljaykam,28-09-2023 08:21,23-04-2024 19:29,22-03-2024 07:20,major
Info icon in Worksite Setup tool show incorrect site information,SAK-49343,66867,Bug,Verified,Major,Fixed,kunaljaykam,06-10-2023 12:42,09-02-2024 09:10,29-10-2023 03:18,major
T&Q: Numeric response question > Uncaught TypeError: $(...).popover is not a function,SAK-49381,66905,Bug,Closed,Major,Fixed,kunaljaykam,18-10-2023 19:49,23-01-2024 18:56,08-11-2023 10:08,major
Assignments: Submission export break on big data set,SAK-49996,67521,Bug,Resolved,Major,Duplicate,Core Team,23-04-2024 09:26,29-05-2024 11:45,24-04-2024 02:45,major
Update Joda-time 2.12.7,SAK-49788,67315,Bug,Closed,Minor,Fixed,David Horwitz,25-02-2024 23:50,25-07-2024 23:48,27-02-2024 11:24,minor
Gradebook: Custom Export ha a small and a large X to close the modal,SAK-50169,67696,Bug,Closed,Minor,Fixed,Zhuo Yang,29-05-2024 19:40,17-07-2024 02:51,03-07-2024 09:12,minor
T&Q: Show a message when loading submission,SAK-49479,67003,Feature Request,Verified,Minor,Fixed,Miguel Pellicer,20-11-2023 04:58,22-11-2023 12:12,21-11-2023 02:48,major
Update Apache common Imaging 1.0.0-alpha4,SAK-49931,67458,Bug,Closed,Critical,Fixed,David Horwitz,04-04-2024 00:19,25-07-2024 23:50,04-04-2024 11:06,major
"Assignments: Grader not displaying files, not switching to multiple file",SAK-49659,67185,Bug,Verified,Blocker,Fixed,Earle Nietzel,19-01-2024 16:07,02-04-2024 22:30,23-01-2024 11:32,critical
"Remove the RSS, OPML, and ATOM portal from Sakai",SAK-50183,67710,Bug,Verified,Major,Fixed,Charles R Severance,01-06-2024 18:36,21-07-2024 09:06,04-06-2024 12:45,major
Site Info: Date Manager UX issue,SAK-50110,67635,Bug,Closed,Major,Fixed,Sean Horner,17-05-2024 11:29,08-06-2024 20:41,20-05-2024 14:28,major
Profile: first launch of roster RuntimeException:Fatal error trying to execute custom action method: get-membership:show:getMembership:,SAK-50196,67723,Bug,Closed,Critical,Fixed,Earle Nietzel,05-06-2024 19:14,28-07-2024 15:08,27-06-2024 11:51,critical
Portal: Focus lost on login field when the page load,SAK-49599,67125,Bug,Closed,Critical,Fixed,Markus Stetschnig,29-12-2023 05:31,23-01-2024 18:35,08-01-2024 02:29,critical
Lessons: Unable to modify content link,SAK-49423,66947,Bug,Verified,Blocker,Fixed,Miguel Pellicer,03-11-2023 18:09,06-11-2023 18:14,06-11-2023 10:31,blocker
Assignments - Student's HTML file attachment inaccessible to the teacher,SAK-49649,67175,Bug,Verified,Critical,Fixed,Manu Fuster,18-01-2024 05:53,02-04-2024 22:17,01-03-2024 03:17,critical
T&Q: Rare bug when copying image between question from question pool,SAK-49460,66984,Bug,Closed,Major,Fixed,Miguel Pellicer,16-11-2023 10:31,29-01-2024 19:27,17-11-2023 02:18,minor
Improved LTI Admin UI when selecting launch option,SAK-50272,67799,Improvement,Verified,Major,Fixed,Charles R Severance,02-07-2024 11:09,17-07-2024 19:29,09-07-2024 07:34,major
Test and Quizzes: Error exporting question pool,SAK-50153,67678,Bug,Verified,Critical,Fixed,Jesus Maria Mendez Perez,27-05-2024 08:13,17-06-2024 19:45,17-06-2024 08:14,critical
Enhance Log Messages for Improved Turnitin Error Detection,TII-276,66926,Improvement,Resolved,Minor,Non-Issue,Manu Fuster,25-10-2023 03:06,25-10-2023 05:15,25-10-2023 03:56,minor
Resources: Link migration not working for URL content,SAK-50335,67862,Bug,Resolved,Minor,Fixed,Vicent Alfonso,29-07-2024 06:06,30-07-2024 09:57,30-07-2024 09:57,major
SCORM: Error viewing result,SAK-50308,67835,Bug,Resolved,Critical,Fixed,Matthew Jones,18-07-2024 13:39,30-07-2024 12:29,30-07-2024 12:29,critical
Grader & Document Viewer: Upgrade pdf.js to use the latest feature (4.0.189),SAK-49445,66969,Improvement,Verified,Critical,Fixed,Miguel Pellicer,13-11-2023 08:05,03-04-2024 10:06,14-11-2023 06:54,critical
LTI: Pop-up when there are no tool available is oversized for the message displayed,SAK-50287,67814,Bug,Verified,Minor,Fixed,Charles R Severance,09-07-2024 19:39,12-07-2024 17:53,11-07-2024 18:27,minor
"T&Q: Rubric selection and comment not saved correctly if graded through question tab, console error: Uncaught RangeError: Maximum call stack size exceeded.",SAK-49406,66930,Bug,Resolved,Blocker,Incorporated,Core Team,25-10-2023 19:21,02-11-2023 19:43,02-11-2023 19:43,blocker
"Roster Card game: when clicking to reset the game, student in the pop-up should be students'",SAK-49330,66854,Bug,Verified,Major,Fixed,Adrian Fish,02-10-2023 18:59,04-10-2023 18:05,04-10-2023 06:05,major
Lessons fails to embed URLs when attempting to link to web page or Google doc,SAK-49916,67444,Bug,Closed,Major,Fixed,Sam Ottenhoff,01-04-2024 13:59,11-05-2024 10:56,03-04-2024 14:45,major
Console error on initial user login: Uncaught (in promise) TypeError: Cannot read property of null (reading 'unsubscribe'),SAK-49922,67449,Bug,Resolved,Major,Duplicate,Earle Nietzel,03-04-2024 08:20,05-04-2024 10:58,05-04-2024 10:58,major
Improvements in SkinnableCharonPortal class,SAK-49400,66924,Improvement,Verified,Major,Fixed,Earle Nietzel,24-10-2023 10:29,13-02-2024 16:16,28-11-2023 11:50,major
Tests & Quizzes: Unable to access test Settings in Serbian,SAK-49761,67288,Bug,Verified,Minor,Fixed,Sam Ottenhoff,15-02-2024 09:06,23-03-2024 15:45,22-03-2024 14:48,minor
Update SpotBugs Maven Plugin 4.8.6.2 & license plugin 4.5,SAK-50292,67819,Bug,Resolved,Minor,Fixed,David Horwitz,12-07-2024 03:45,17-07-2024 09:12,14-07-2024 15:44,minor
Assignments: saving a grade or comment in new grader should use the same message a the old grader,SAK-49802,67329,Bug,Verified,Major,Fixed,Sam Ottenhoff,03-03-2024 10:56,02-04-2024 22:31,07-03-2024 04:34,major
Lessons unable to send item to gradebook,SAK-49639,67165,Bug,Closed,Blocker,Incorporated,Core Team,14-01-2024 20:34,25-01-2024 17:30,24-01-2024 18:58,blocker
LTI Tools set to open in a new window require you to click a button to open the new window,SAK-50298,67825,Bug,Closed,Major,Fixed,Andrea Schmidt,15-07-2024 15:48,31-07-2024 10:48,25-07-2024 13:09,major
T&Q Include question text and score when exporting response,SAK-49471,66995,Feature Request,Verified,Major,Fixed,Miguel Pellicer,17-11-2023 03:53,21-11-2023 10:33,20-11-2023 02:56,minor
LTI: Document annotator cannot be graded,SAK-50255,67782,Bug,Closed,Major,Non-Issue,Charles R Severance,25-06-2024 20:18,04-07-2024 07:13,04-07-2024 07:12,major
Missing header Samigo,SAK-49382,66906,Bug,Verified,Major,Fixed,David Horwitz,19-10-2023 01:05,08-03-2024 11:57,19-10-2023 09:54,major
Importing an assignment that is linked to the gradebook (externally) is not assigned a gb category after import,SAK-49699,67226,Bug,Resolved,Major,Cannot Reproduce,Earle Nietzel,30-01-2024 12:41,02-02-2024 15:57,02-02-2024 15:57,major
Admin User Management: every other line is unreadable,SAK-50240,67767,Bug,Resolved,Major,Cannot Reproduce,kunaljaykam,20-06-2024 17:28,27-06-2024 19:34,27-06-2024 19:34,major
Lessons: import from another site console error wait.gif 404 (Not Found),SAK-50100,67625,Bug,Closed,Major,Fixed,Sam Ottenhoff,14-05-2024 19:16,30-07-2024 18:04,30-05-2024 10:58,major
Lessons: Deleting comment tool with posted comment creates orphan in database,SAK-49627,67153,Bug,Resolved,Major,Fixed,Core Team,10-01-2024 11:11,21-03-2024 16:12,21-03-2024 16:12,major
Notifications: Announcements released in the future do not have the same formatting a other announcement notification,SAK-49546,67071,Bug,Closed,Major,Fixed,Core Team,04-12-2023 13:32,16-04-2024 15:12,21-12-2023 10:17,major
Assignments: Duplicate pager in the grade report,SAK-49554,67079,Improvement,Verified,Major,Fixed,Manu Fuster,07-12-2023 09:05,10-01-2024 07:25,08-01-2024 03:26,major
Grader: Navigating between submission with student submission is not filtering correctly.,SAK-49308,66832,Bug,Closed,Major,Incorporated,Miguel Pellicer,26-09-2023 06:25,27-09-2023 15:54,27-09-2023 02:46,major
Forums: Notifications of moderated topic created by moderator,SAK-49535,67060,Bug,Closed,Major,Fixed,Miguel Pellicer,01-12-2023 09:06,27-01-2024 09:25,15-12-2023 02:16,major
SakaiProfile webcomponent should only fetch JSON data when needed,SAK-49690,67217,Bug,Verified,Major,Fixed,Sam Ottenhoff,29-01-2024 12:40,07-04-2024 10:06,01-02-2024 12:16,major
Address noisy test in gradebookng tool,SAK-49588,67114,Improvement,Resolved,Major,Fixed,Earle Nietzel,20-12-2023 13:42,03-01-2024 18:43,21-12-2023 02:32,major
T&Q Ability to set the rounding decimal when grading,SAK-49462,66986,Feature Request,Closed,Minor,Won't Fix,Miguel Pellicer,16-11-2023 10:58,14-12-2023 09:16,17-11-2023 04:24,minor
"Plus: (duplicate, the same JIRA wa saved twice) Improve Launch and Use Executor Pattern For NRPS Retrieval",SAK-49485,67009,Bug,Closed,Blocker,Duplicate,Charles R Severance,21-11-2023 12:06,30-11-2023 16:34,30-11-2023 16:33,blocker
"Site Info > Auto-groups (official site): when creating group for students, there are ""extra"" listing without name, user eid",SAK-49979,67504,Bug,Resolved,Major,Non-Issue,Core Team,17-04-2024 20:17,25-04-2024 19:23,25-04-2024 19:23,major
Rubrics: Toolbar on left disappears when a TA/student view the unlocked Rubric tool,SAK-49876,67403,Bug,Closed,Blocker,Fixed,Sam Ottenhoff,24-03-2024 15:30,14-05-2024 17:43,10-05-2024 17:46,blocker
External Tools (LTI): Add custom icon input too wide,SAK-49346,66870,Bug,Closed,Minor,Fixed,Sharadhi Raghuraj,08-10-2023 08:56,23-07-2024 19:25,09-05-2024 18:22,minor
Lessons: Create a single "Add Learning App" UI to be used across Sakai,SAK-49560,67085,Bug,Resolved,Major,Fixed,Charles R Severance,09-12-2023 14:13,21-07-2024 10:56,08-07-2024 22:44,major
Lessons: 'Require this item' doesn't remain checked on some item completed by the instructor,SAK-49312,66836,Improvement,Closed,Major,Fixed,Vicent Alfonso,27-09-2023 05:30,19-06-2024 12:01,19-12-2023 07:35,major
Messages tab header are inconsistent,SAK-49783,67310,Bug,Closed,Major,Fixed,kunaljaykam,23-02-2024 15:35,01-05-2024 03:33,26-04-2024 13:18,major
T&Q Event Log: Events are not localized,SAK-49506,67031,Bug,Closed,Minor,Fixed,Manu Fuster,28-11-2023 07:27,07-05-2024 18:37,09-01-2024 09:18,major
Update Apache Net 3.11.0,SAK-50181,67708,Bug,Resolved,Major,Fixed,Core Team,01-06-2024 00:17,17-07-2024 09:14,03-06-2024 11:53,major
Assignments: Cannot export submission to ZIP when the title ha square bracket,SAK-49543,67068,Bug,Closed,Major,Fixed,Miguel Pellicer,04-12-2023 05:27,10-01-2024 21:59,06-12-2023 14:27,major
Sakai Plus Sites Do Not Have the Role Swap Option Available.,SAK-49633,67159,Bug,Closed,Major,Fixed,Charles R Severance,10-01-2024 23:58,06-02-2024 19:48,11-01-2024 11:44,major
Site Import - Merge is replacing data in Conversations,SAK-49897,67425,Bug,Verified,Critical,Fixed,Adrian Fish,27-03-2024 16:21,02-04-2024 04:12,28-03-2024 09:23,critical
Rubrics: Shared draft rubric should have Draft label,SAK-49319,66843,Bug,Verified,Major,Fixed,Christopher Maurer,28-09-2023 17:41,02-04-2024 22:54,13-10-2023 09:58,major
"Multiple tool always displayed in Dark Mode, regardless of setting",SAK-49973,67498,Bug,Resolved,Major,Cannot Reproduce,Core Team,17-04-2024 09:36,19-04-2024 10:40,19-04-2024 10:40,major
"Plus: Single tool, 2 servers, date picker not available: Uncaught DOMException: Failed to read a named property 'sakai' from 'Window': Blocked a frame with origin ""https://trunk-mysql8.nightly.sakaiproject.org"" from accessing a cross-origin frame.",SAK-49454,66978,Bug,Resolved,Critical,Won't Do,Charles R Severance,15-11-2023 21:23,11-06-2024 17:14,11-06-2024 17:14,blocker
Gradebook: ?Excuse/Include Grade? with percentage entry distorts score,SAK-49811,67338,Bug,Closed,Critical,Fixed,Sean Horner,04-03-2024 17:39,23-04-2024 18:51,14-03-2024 11:54,major
Archive assignment attachment and supplementary item,SAK-50024,67549,Task,Closed,Major,Fixed,Stephen Marquard,27-04-2024 11:09,12-06-2024 18:59,30-04-2024 11:13,major
Library: Upgrade pdf-js from 4.0.189 to 4.0.269,SAK-49549,67074,Bug,Verified,Blocker,Fixed,Miguel Pellicer,07-12-2023 02:44,02-04-2024 22:27,11-01-2024 15:16,blocker
Worksite Setup -> Search should also search the internal site id,SAK-49548,67073,Bug,Closed,Major,Fixed,Core Team,06-12-2023 16:55,16-01-2024 19:06,05-01-2024 11:07,major
Assignments: Missing cell in peer-review row in assignment table,SAK-49338,66862,Bug,Closed,Minor,Fixed,Markus Stetschnig,05-10-2023 06:40,20-10-2023 19:07,09-10-2023 12:42,minor
Recent Announcements: Incorrect attribution of highlighting,SAK-49963,67488,Bug,Resolved,Major,Fixed,Sean Horner,12-04-2024 16:43,29-07-2024 19:03,22-04-2024 10:41,major
