Summary,Issue key,Issue id,Issue Type,Status,Priority,Resolution,Assignee,Created,Updated,Resolved,Predicted Priority
T&Q: More instruction for calculated question about decimal,SAK-49482,67006,Feature Request,Verified,Minor,Fixed,Miguel Pellicer,20-11-2023 08:46,22-11-2023 12:19,21-11-2023 02:48,major
"Portal > Home: logging in cause stacktraces caused by java.util.MissingResourceException: Can't find bundle for base name connection-manager, locale en_US",SAK-49579,67104,Bug,Verified,Major,Fixed,Miguel Pellicer,15-12-2023 17:47,09-01-2024 10:25,18-12-2023 05:04,major
CKeditor in Conversations ha no icon,SAK-49679,67206,Bug,Verified,Major,Fixed,Adrian Fish,25-01-2024 14:07,03-04-2024 18:13,29-02-2024 13:38,major
Portal: Unpublished "Official" site display and are pinned for the student (incorrect behavior),SAK-49416,66940,Bug,Verified,Blocker,Incorporated,Sean Horner,01-11-2023 18:48,14-02-2024 19:12,31-01-2024 19:07,blocker
Assignments: Self-report rubric is displaying option the student shouldn't have,SAK-49367,66891,Bug,Resolved,Major,Duplicate,Miguel Pellicer,13-10-2023 17:38,19-10-2023 11:24,19-10-2023 11:24,major
Lessons: .anon site display an error in Oracle,SAK-49505,67030,Bug,Closed,Major,Fixed,Manu Fuster,28-11-2023 06:47,29-01-2024 19:30,09-01-2024 07:12,major
Plus: Improve Launch Logic and use Executor Pattern For NRPS Retrieval,SAK-49486,67010,Bug,Closed,Blocker,Fixed,Charles R Severance,21-11-2023 12:11,10-12-2023 10:09,28-11-2023 13:32,blocker
TYPE is a reserved word on Oracle,SAK-50291,67818,Bug,Resolved,Major,Fixed,Jesus Maria Mendez Perez,12-07-2024 03:20,12-07-2024 05:30,12-07-2024 05:30,major
Plus: o.h.e.j.s.SqlExceptionHelper.logExceptions Duplicate entry for key 'GB_GRADEBOOK_T.UK_ru3o66mhmaf4no3xt2tv4n8e5',SAK-49568,67093,Bug,Closed,Major,Fixed,Charles R Severance,11-12-2023 19:23,09-01-2024 18:28,03-01-2024 18:37,major
Portal when forming the reset url should only effect the path of a uri,SAK-50214,67741,Bug,Closed,Critical,Fixed,Earle Nietzel,13-06-2024 13:53,15-06-2024 11:48,13-06-2024 15:53,critical
Site Import doesn't complete after an NPE in AnnouncementsBullhornHandler,SAK-49529,67054,Bug,Closed,Critical,Fixed,Earle Nietzel,30-11-2023 15:43,09-04-2024 18:31,02-12-2023 22:08,critical
Portal: Organize Pinned no longer work,SAK-49725,67252,Bug,Closed,Critical,Fixed,Sean Horner,07-02-2024 16:51,10-03-2024 15:44,13-02-2024 11:34,major
Assignments: Problems in navigation when selecting resource from another site,SAK-49569,67094,Bug,Closed,Major,Fixed,Andrea Schmidt,12-12-2023 06:51,10-03-2024 10:56,15-02-2024 11:04,major
Site Import: Import is 3x slower because how Rubrics are copied in Tests & Quizzes,SAK-49436,66960,Bug,Closed,Critical,Fixed,Miguel Pellicer,09-11-2023 03:30,10-12-2023 10:34,10-11-2023 02:23,critical
Dashboard: Add widget text is unreadable on dark mode,SAK-49561,67086,Bug,Verified,Minor,Incorporated,kunaljaykam,10-12-2023 19:56,29-12-2023 12:22,28-12-2023 13:59,minor
Message-ID doe not contain angle bracket,SAK-50284,67811,Bug,Closed,Major,Fixed,Andrea Schmidt,09-07-2024 11:11,28-07-2024 09:53,19-07-2024 09:28,major
Lessons: Unable to add text to subpage,SAK-49710,67237,Bug,Verified,Critical,Fixed,Bernardo Garcia Vila,05-02-2024 11:12,19-02-2024 13:09,19-02-2024 13:08,critical
Profile: TypeError: $(...).qtip is not a function,SAK-50251,67778,Bug,Verified,Major,Fixed,kunaljaykam,24-06-2024 19:15,02-07-2024 18:07,01-07-2024 13:45,major
T&Q: Numeric response question regression,SAK-49611,67137,Bug,Closed,Critical,Fixed,Sean Horner,03-01-2024 16:51,08-02-2024 19:58,11-01-2024 11:29,critical
T&Q: Ability to associate an exam with an existing GB item,SAK-49656,67182,Feature Request,Verified,Critical,Fixed,Miguel Pellicer,19-01-2024 08:39,18-03-2024 03:18,25-01-2024 05:48,major
Tests & Quizzes: Performance issue when loading exam,SAK-49674,67201,Bug,Verified,Major,Fixed,Markus Stetschnig,25-01-2024 07:14,25-01-2024 12:32,25-01-2024 09:14,major
Update fasterxml: Jackson 2.16.1 & Woodstox 6.6.0,SAK-49660,67186,Bug,Closed,Major,Fixed,David Horwitz,20-01-2024 00:24,25-07-2024 23:47,23-01-2024 17:16,major
Special handling for attachment archiving for T&Q and user file,SAK-50021,67546,Improvement,Closed,Major,Fixed,Stephen Marquard,27-04-2024 04:58,09-06-2024 11:00,06-05-2024 10:37,major
Roster list in Enrollment Status is doubled/duplicated,SAK-49715,67242,Bug,Closed,Major,Fixed,Adrian Fish,06-02-2024 16:03,29-05-2024 02:06,08-02-2024 18:08,major
Add better protection for invalid i18n key,SAK-49576,67101,Bug,Resolved,Major,Fixed,Earle Nietzel,14-12-2023 16:58,02-04-2024 10:07,15-12-2023 09:56,major
"Profile: When looking at another user's profile, the birthdate is not formatted correctly",SAK-50274,67801,Bug,Closed,Major,Fixed,Matthew Jones,02-07-2024 19:45,30-07-2024 17:49,09-07-2024 23:35,major
T&Q: Instructor statistic page: Uncaught TypeError: $(...).dropdown is not a function,SAK-50057,67582,Bug,Verified,Major,Fixed,Sam Ottenhoff,05-05-2024 10:03,18-05-2024 18:58,14-05-2024 10:06,major
Changing default Display Options when "Add Learning App",SAK-49375,66899,Bug,Closed,Minor,Fixed,Jesus Maria Mendez Perez,17-10-2023 08:07,11-06-2024 10:11,19-10-2023 05:51,minor
T&Q: Escape translation string in the assessment list,SAK-49551,67076,Bug,Closed,Major,Fixed,Miguel Pellicer,07-12-2023 06:41,16-01-2024 18:51,14-12-2023 05:18,major
Create site from template doesn't display the course name unless the browser window is stretched wide,SAK-49398,66922,Bug,Closed,Major,Fixed,kunaljaykam,23-10-2023 18:31,29-05-2024 01:55,21-03-2024 07:30,major
Add assignment by column download (xlsx),SAK-50210,67737,Feature Request,Resolved,Major,Fixed,Jesus Maria Mendez Perez,11-06-2024 02:50,21-06-2024 02:19,21-06-2024 02:19,major
Rubrics: Rubric icon appears to student if rubric is hidden,SAK-49806,67333,Bug,Closed,Critical,Fixed,Sean Horner,04-03-2024 10:18,30-07-2024 12:47,22-04-2024 10:32,major
Lessons: Invalid character error when adding a pre-requisite,SAK-50285,67812,Bug,Resolved,Major,Non-Issue,Core Team,09-07-2024 15:55,16-07-2024 21:11,11-07-2024 18:25,major
Update MariaDB/J 2.7.12,SAK-50293,67820,Bug,Resolved,Major,Fixed,David Horwitz,12-07-2024 05:25,15-07-2024 19:06,14-07-2024 15:43,major
Discussions: Disappearing calendar control in topic/forum setting,SAK-49839,67366,Bug,Closed,Major,Fixed,Sean Horner,14-03-2024 13:13,08-04-2024 18:10,19-03-2024 13:22,major
Update Apache FreeMarker 2.3.33,SAK-50188,67715,Bug,Resolved,Major,Fixed,David Horwitz,03-06-2024 23:56,17-07-2024 09:14,04-06-2024 09:05,major
Gradebook-Rubrics: Rubric icon missing from student gradebook,SAK-49821,67348,Bug,Resolved,Major,Duplicate,Earle Nietzel,07-03-2024 14:30,07-03-2024 18:56,07-03-2024 18:56,major
Portal: Cleanup unused connection-manager,SAK-49507,67032,Improvement,Verified,Major,Fixed,Miguel Pellicer,28-11-2023 09:29,19-12-2023 12:36,14-12-2023 02:02,major
Plus-Single tool launch display the incorrect page the first time around,SAK-49467,66991,Bug,Resolved,Blocker,Incorporated,Charles R Severance,16-11-2023 20:09,28-11-2023 18:58,21-11-2023 12:55,blocker
Gateway: Permission Error in SiteHandler (setting selectedPage),SAK-49910,67438,Bug,Closed,Major,Fixed,kunaljaykam,29-03-2024 11:54,10-05-2024 10:58,08-04-2024 08:23,major
Lessons: Uncaught ReferenceError: SPNR is not defined,SAK-50099,67624,Bug,Closed,Major,Fixed,Sam Ottenhoff,14-05-2024 18:28,09-06-2024 10:09,22-05-2024 09:29,major
Remove old commons-collection,SAK-49906,67434,Sub-task,Resolved,Major,Fixed,Sam Ottenhoff,29-03-2024 10:23,29-03-2024 11:02,29-03-2024 11:02,major
Assignments: Improve NOTE in the dropdown feedback to multiple student,SAK-49514,67039,Feature Request,Verified,Minor,Fixed,Manu Fuster,29-11-2023 05:57,16-01-2024 14:34,16-01-2024 06:38,minor
LTI: Cancel on pop-up picker console error: ReferenceError: doreload is not defined,SAK-50286,67813,Bug,Verified,Minor,Fixed,Charles R Severance,09-07-2024 19:01,12-07-2024 17:53,11-07-2024 17:43,minor
Gateway page are broken due to bootstrap CSS not loading,SAK-49733,67260,Bug,Closed,Major,Fixed,kunaljaykam,12-02-2024 03:08,25-04-2024 19:21,14-02-2024 11:38,major
Tasks panel: dark mode issue,SAK-49586,67112,Bug,Verified,Major,Fixed,Adrian Fish,19-12-2023 16:04,03-04-2024 20:15,28-12-2023 06:34,major
Assignments: New event for student saving peer review,SAK-49352,66876,Improvement,Resolved,Critical,Fixed,Christopher Maurer,09-10-2023 08:52,12-02-2024 16:07,12-02-2024 16:07,major
LTI-Assignments: console error when opening grading page for a group assignment: TypeError: Invalid protocol,SAK-50320,67847,Bug,Resolved,Major,Duplicate,Charles R Severance,22-07-2024 18:24,23-07-2024 17:38,23-07-2024 17:38,major
Site Info: Incorrect numbering when generating additional Joinable Sets,SAK-50051,67576,Bug,Closed,Major,Fixed,Manu Fuster,02-05-2024 07:50,11-05-2024 11:04,07-05-2024 11:28,major
Cannot add LTI tool in Lessons using "Add Learning App",SAK-50241,67768,Bug,Closed,Blocker,Fixed,Core Team,21-06-2024 12:33,26-06-2024 18:36,22-06-2024 04:37,blocker
Enhance Log Messages for Improved Turnitin Error Detection,SAK-49403,66927,Improvement,Resolved,Minor,Fixed,Manu Fuster,25-10-2023 03:58,30-10-2023 07:02,26-10-2023 11:20,minor
SakaiDatePicker doe not handle daylight saving time (DST) correctly,SAK-49664,67190,Bug,Closed,Major,Fixed,Sam Ottenhoff,22-01-2024 13:19,06-02-2024 09:48,23-01-2024 12:03,major
Test & Quizzes: Update calculated question instruction,SAK-50294,67821,Bug,Verified,Major,Fixed,Manu Fuster,12-07-2024 08:37,29-07-2024 12:21,16-07-2024 13:48,major
Update Apache Tomcat 9.0.81,SAK-49356,66880,Bug,Closed,Major,Fixed,Core Team,10-10-2023 07:41,25-07-2024 23:39,10-10-2023 09:16,major
Gradebook: Keyboard navigation doe not reach column header,SAK-49442,66966,Bug,Closed,Blocker,Fixed,Adrian Fish,11-11-2023 16:15,16-05-2024 17:37,13-05-2024 12:10,blocker
LTI Assignments cannot be graded unless SakaiGrader is used,SAK-50327,67854,Bug,Verified,Major,Fixed,Charles R Severance,25-07-2024 10:08,30-07-2024 19:05,30-07-2024 10:19,major
Samigo when creating a multiple choice question with answer level feedback RTE will not show,SAK-49412,66936,Bug,Verified,Major,Fixed,Earle Nietzel,27-10-2023 17:29,03-11-2023 18:22,31-10-2023 11:14,major
Preferences: Set user default option for Announcement notification through a property,SAK-49666,67193,Improvement,Resolved,Minor,Fixed,Vicent Alfonso,23-01-2024 04:04,25-01-2024 08:31,24-01-2024 02:59,minor
"Remove portal-chat, portal-video-chat, webrtc, etc from Sakai 25",SAK-50207,67734,Bug,Verified,Major,Fixed,Charles R Severance,10-06-2024 23:20,15-06-2024 11:43,12-06-2024 20:25,major
Console log error for incorrect use of label for sakai-search-field,SAK-50062,67587,Bug,Resolved,Major,Fixed,Adrian Fish,05-05-2024 18:28,06-05-2024 11:06,06-05-2024 10:48,major
"Edit task loses ""Text"" of task, ""Description of task"" and ""Due Date""",SAK-49587,67113,Bug,Verified,Major,Incorporated,Adrian Fish,19-12-2023 16:32,09-01-2024 14:37,23-12-2023 07:30,major
Site Import: Excessive logging when importing site with T&Q,SAK-49434,66958,Bug,Closed,Major,Fixed,Miguel Pellicer,08-11-2023 08:38,06-12-2023 18:44,09-11-2023 02:04,major
Calendar should support import or merging all day event,SAK-50276,67803,Bug,Verified,Major,Fixed,Earle Nietzel,03-07-2024 11:23,30-07-2024 11:51,29-07-2024 15:13,major
Update Apache common compress 1.26.1,SAK-49827,67354,Bug,Closed,Major,Fixed,David Horwitz,11-03-2024 00:32,25-07-2024 23:48,13-03-2024 20:45,major
"Messages: On 'Reply to all', include last user that joined the group to which the mail wa sent",SAK-49864,67391,Bug,Resolved,Major,Fixed,Vicent Alfonso,22-03-2024 09:09,22-04-2024 13:01,22-04-2024 13:01,major
Update OpenSearch 1.3.17,SAK-50283,67810,Bug,Resolved,Minor,Fixed,David Horwitz,09-07-2024 09:00,17-07-2024 09:16,09-07-2024 11:42,minor
LTI description is out of date in /direct,SAK-50316,67843,Bug,Closed,Major,Fixed,Charles R Severance,21-07-2024 10:08,28-07-2024 09:58,21-07-2024 23:26,major
Remove old commons-lang,SAK-49905,67433,Sub-task,Resolved,Major,Fixed,Sam Ottenhoff,29-03-2024 10:21,01-04-2024 15:58,01-04-2024 15:58,major
Tests & Quizzes: View filter need updated to work with new test status,SAK-49379,66903,Bug,Closed,Major,Fixed,Sam Ottenhoff,18-10-2023 16:14,22-11-2023 13:46,31-10-2023 11:13,major
Global update Spring Web to 5.3.34,SAK-50069,67594,Bug,Resolved,Major,Fixed,Earle Nietzel,07-05-2024 12:09,28-05-2024 18:08,08-05-2024 10:09,major
Filter all Dashboard widget content in Home site by pinned site,SAK-50265,67792,Feature Request,Verified,Major,Fixed,Adrian Fish,28-06-2024 14:31,26-07-2024 10:20,16-07-2024 13:43,major
LTI-Assignments: Only show valid tool that can be added a an LTI assignment,SAK-49958,67483,Bug,Resolved,Major,Non-Issue,Charles R Severance,11-04-2024 20:07,10-06-2024 18:33,10-06-2024 18:27,major
Samigo: Console error on Event Logs page if there are no quiz available,SAK-49349,66873,Bug,Verified,Major,Fixed,kunaljaykam,08-10-2023 10:40,15-10-2023 10:18,13-10-2023 11:27,major
Announcements: Highlighted status not always accurate in Edit view,SAK-50030,67555,Bug,Closed,Major,Fixed,Sean Horner,29-04-2024 19:35,29-07-2024 19:06,06-05-2024 10:39,major
Gradebook: Student review mode doe not hide all other student grade,SAK-50055,67580,Bug,Closed,Blocker,Fixed,Earle Nietzel,03-05-2024 10:34,11-05-2024 10:18,09-05-2024 18:05,blocker
Dashboard: "Edit Task" loses previously entered Text,SAK-49601,67127,Bug,Resolved,Major,Incorporated,Adrian Fish,29-12-2023 13:04,10-01-2024 05:55,10-01-2024 05:55,major
Lessons: Content link have change assignment option,SAK-49853,67380,Bug,Verified,Major,Fixed,Sam Ottenhoff,19-03-2024 09:22,13-05-2024 14:32,22-04-2024 10:30,major
Dashboard Tool Not Responsive,SAK-49917,67445,Bug,Closed,Major,Fixed,Adrian Fish,01-04-2024 16:07,22-07-2024 13:18,23-04-2024 15:34,major
"Portal: Tutorial pop up on every page for an admin user, even after being dismissed",SAK-49824,67351,Bug,Verified,Critical,Fixed,kunaljaykam,08-03-2024 18:46,18-05-2024 18:59,07-05-2024 07:00,critical
Content: Add a warning when editing URL resource detail,SAK-49521,67046,Improvement,Verified,Minor,Fixed,Miguel Pellicer,30-11-2023 05:40,26-12-2023 16:12,13-12-2023 08:55,minor
Upgrade Gradebook from Wicket 6 to Wicket 9,SAK-49989,67514,Improvement,Resolved,Major,Fixed,Sam Ottenhoff,22-04-2024 14:11,09-06-2024 09:09,26-04-2024 10:59,major
Rubrics: Comment pop-up display undefined when instructor grade,SAK-49867,67394,Bug,Closed,Major,Fixed,Sean Horner,23-03-2024 09:59,09-06-2024 21:07,22-04-2024 10:36,major
Lessons: Improve styling when the file cannot be previewed,SAK-49512,67037,Improvement,Closed,Major,Fixed,Miguel Pellicer,29-11-2023 02:58,30-01-2024 09:36,30-11-2023 06:29,major
Update Tika Parsers and dependency,SAK-49497,67022,Bug,Resolved,Major,Incorporated,Jesus Maria Mendez Perez,24-11-2023 03:44,13-02-2024 11:01,13-02-2024 11:00,major
Word count algorithm in Statistics is different from word count algorithm when viewing a post,SAK-49794,67321,Bug,Closed,Major,Fixed,Andrea Schmidt,28-02-2024 11:45,09-03-2024 11:05,05-03-2024 12:45,major
Roster: Parsing a potentially infinite object to JSON,SAK-49350,66874,Bug,Closed,Critical,Fixed,Adrian Fish,09-10-2023 05:06,30-11-2023 17:44,17-10-2023 04:00,critical
View As: real user (xxx) is impersonated with mock user (xxx) with (xxx) being identical,SAK-49747,67274,Bug,Verified,Blocker,Fixed,Sam Ottenhoff,12-02-2024 21:07,08-04-2024 08:33,25-03-2024 14:18,blocker
"Announcements: Merged announcement do not appear on user Home tools, Bullhorns",SAK-49391,66915,Bug,Resolved,Critical,Incorporated,kunaljaykam,20-10-2023 11:48,10-01-2024 06:19,10-01-2024 06:19,critical
The common tool is not properly responsive on small displays.,SAK-49993,67518,Bug,Verified,Major,Fixed,Adrian Fish,23-04-2024 06:18,02-05-2024 15:16,23-04-2024 15:27,major
WebJars: Upgrade CKEDITOR from 4.21.0 to 4.22.1 (Last update EOL),SAK-49518,67043,Bug,Closed,Critical,Fixed,Miguel Pellicer,29-11-2023 08:50,04-07-2024 16:35,09-01-2024 03:08,critical
Problem with timezone America/Ciudad de Mexico. Upgrading jstimezonedetect,SAK-50186,67713,Bug,Resolved,Major,Fixed,Jesus Maria Mendez Perez,03-06-2024 03:28,03-06-2024 11:05,03-06-2024 11:05,major
Add extra check so a to never return "UNKNOWN" a the GradeType in a Gradebook,SAK-49760,67287,Bug,Resolved,Blocker,Incorporated,Earle Nietzel,15-02-2024 07:43,18-04-2024 18:27,18-04-2024 18:27,blocker
Assignments: Make Peer Review Comments Visible from Grader fails with multiple console error,SAK-49929,67456,Bug,Closed,Blocker,Fixed,Adrian Fish,03-04-2024 18:57,12-04-2024 18:28,09-04-2024 10:27,minor
Assignments: NPE due to AssignmentAction.getNonInlineAttachments,SAK-49887,67414,Bug,Closed,Blocker,Incorporated,Earle Nietzel,25-03-2024 16:10,06-05-2024 05:13,25-03-2024 18:49,blocker
Conversations discussion topic are changed to question topic upon import,SAK-49677,67204,Bug,Verified,Major,Fixed,Adrian Fish,25-01-2024 13:50,26-03-2024 18:14,25-03-2024 03:17,major
"Plus: When using 2 different servers, on first launch the instructor is sent to ""Home"" on the Plus server",SAK-49476,67000,Bug,Resolved,Blocker,Non-Issue,Charles R Severance,17-11-2023 19:02,21-11-2023 12:57,21-11-2023 12:57,blocker
Sakai not shutting down due to thread not terminating in MicrosoftMessagingService,SAK-49758,67285,Bug,Resolved,Major,Fixed,Earle Nietzel,14-02-2024 17:10,24-04-2024 07:32,15-02-2024 09:21,major
Kebab menu on conversation post is coloured incorrectly in dark mode,SAK-49872,67399,Bug,Verified,Major,Fixed,Adrian Fish,24-03-2024 08:04,04-04-2024 15:17,25-03-2024 07:00,major
Feedback to student,SAK-50159,67685,Improvement,Resolved,Major,Duplicate,Core Team,28-05-2024 11:10,31-05-2024 02:30,30-05-2024 19:06,major
T&Q: Navigation in question tab is missing,SAK-50064,67589,Bug,Verified,Blocker,Fixed,Bernardo Garcia Vila,06-05-2024 19:34,11-05-2024 11:25,10-05-2024 15:51,blocker
Update OpenSearch 1.3.14,SAK-49709,67236,Bug,Closed,Minor,Fixed,David Horwitz,03-02-2024 01:50,25-07-2024 23:47,05-02-2024 11:26,minor
Inserting paragraph break into Assignment Instructions break the LTI tool connection for External Tool Assignments,SAK-49988,67513,Bug,Closed,Critical,Fixed,Charles R Severance,22-04-2024 11:56,29-07-2024 18:05,20-07-2024 10:10,critical
Roster: Photo Grid is broken,SAK-50101,67626,Bug,Resolved,Critical,Fixed,Manu Fuster,15-05-2024 05:54,30-07-2024 09:57,30-07-2024 09:56,critical
Update Apache Commons Text 1.12.0,SAK-49974,67499,Bug,Closed,Major,Fixed,David Horwitz,17-04-2024 11:23,25-07-2024 23:50,19-04-2024 04:18,major
Portal: Prevent tutorial launching for View Site As role,SAK-49742,67269,Bug,Verified,Major,Fixed,Sean Horner,12-02-2024 18:15,07-04-2024 10:44,13-02-2024 11:29,blocker
Update Apache common compress 1.25.0,SAK-49477,67001,Bug,Closed,Major,Fixed,David Horwitz,17-11-2023 23:48,25-07-2024 23:40,20-11-2023 02:58,major
setting give ugly JavaScript error on Safari (only),SAK-49713,67240,Bug,Resolved,Major,Cannot Reproduce,Adrian Fish,06-02-2024 14:37,06-02-2024 15:34,06-02-2024 15:34,major
LTI: Debug info displaying when instructor launch any lti tool,SAK-49531,67056,Bug,Closed,Major,Fixed,Charles R Severance,30-11-2023 21:02,05-12-2023 19:13,30-11-2023 23:51,major
Uploaded file are corrupted after mime detection,SAK-50150,67675,Bug,Verified,Blocker,Fixed,Earle Nietzel,27-05-2024 00:31,30-05-2024 17:41,28-05-2024 23:57,blocker
Gradebook: Unhide column handle is misaligned,SAK-50083,67608,Bug,Verified,Major,Fixed,Myles Carey,10-05-2024 18:00,13-05-2024 12:13,10-05-2024 22:10,major
Rubrics: Add actual name to generic tooltips,SAK-49934,67461,Bug,Closed,Major,Fixed,Sean Horner,04-04-2024 19:29,10-06-2024 19:21,22-04-2024 10:33,major
Lessons import from site fails when a linked quiz is null,SAK-49941,67467,Bug,Closed,Major,Fixed,Earle Nietzel,08-04-2024 14:53,02-06-2024 11:44,09-04-2024 10:33,major
Fix Custom Icon (FontAwesome Icon Picker Popup) Issues in Dark Mode and Add Placeholder Text,SAK-49860,67387,Bug,Closed,Major,Fixed,kunaljaykam,21-03-2024 12:46,25-04-2024 12:21,22-03-2024 07:17,major
Changing Passwords in Admin is Broken,SAK-49446,66970,Bug,Closed,Blocker,Fixed,Sean Horner,13-11-2023 09:36,25-11-2023 14:09,13-11-2023 15:25,major
Add coordinator node for ignite cluster info,SAK-50172,67699,Improvement,Resolved,Major,Fixed,Earle Nietzel,30-05-2024 12:55,03-06-2024 11:06,03-06-2024 11:06,major
Dashboard: Announcement not filtered on role,SAK-49604,67130,Bug,Verified,Major,Fixed,Adrian Fish,29-12-2023 14:48,03-04-2024 20:24,05-01-2024 12:37,major
Update UnboundID LDAP SDK for Java 6.0.11,SAK-49720,67247,Bug,Closed,Major,Fixed,David Horwitz,06-02-2024 22:41,25-07-2024 23:48,07-02-2024 02:18,major
Update Apache Commons Net 3.10.0,SAK-49344,66868,Bug,Closed,Major,Fixed,David Horwitz,07-10-2023 01:06,25-07-2024 23:39,09-10-2023 12:19,major
Grades widget-students: Have the score in the Grades widget in Dashboard blurred by default,SAK-50029,67554,Improvement,Closed,Major,Fixed,Adrian Fish,29-04-2024 19:22,14-05-2024 17:55,13-05-2024 18:22,major
"Rubrics: Popup dialog appear broken, when there are multiple",SAK-49655,67181,Bug,Verified,Major,Fixed,Adrian Fish,19-01-2024 05:40,02-04-2024 21:49,26-01-2024 13:15,major
Resolve Dark Mode Display Issue in Gateway Iframes,SAK-49621,67147,Bug,Closed,Major,Fixed,kunaljaykam,09-01-2024 05:38,25-04-2024 19:14,13-03-2024 12:05,major
Kernel: Impersonation Feature Does Not Apply User Privacy Settings,SAK-49704,67231,Bug,Resolved,Major,Non-Issue,kunaljaykam,31-01-2024 08:03,10-02-2024 13:48,10-02-2024 13:48,major
T&Q: Ability to reshuffle all the part using random question pool,SAK-49533,67058,Feature Request,Verified,Major,Fixed,Miguel Pellicer,01-12-2023 07:35,12-12-2023 13:21,12-12-2023 08:57,major
Undefined portal variable not catched propertly in editor,SAK-49309,66833,Bug,Resolved,Critical,Fixed,Daniel Merino,26-09-2023 07:03,25-10-2023 03:33,09-10-2023 12:41,critical
Accessibility: Address insufficient color contrast issue with text/links on Gateway page,SAK-49519,67044,Bug,Closed,Major,Fixed,kunaljaykam,29-11-2023 08:52,26-04-2024 17:35,08-01-2024 16:36,major
L10N: Translate Sakai to Serbian,SAK-49703,67230,Feature Request,Verified,Major,Fixed,Miguel Pellicer,31-01-2024 06:00,02-04-2024 12:48,12-02-2024 05:41,major
T&Q The event 'sam.assessment.graded.auto' doe not contain any info,SAK-49461,66985,Feature Request,Verified,Minor,Fixed,Miguel Pellicer,16-11-2023 10:44,10-01-2024 03:09,17-11-2023 03:42,minor
Update frontend-maven-plugin for improved resiliency on downloads,SAK-49628,67154,Bug,Closed,Major,Fixed,Sam Ottenhoff,10-01-2024 12:37,04-04-2024 11:41,10-01-2024 15:40,major
T&Q Serving file from ShowMediaServlet with non-ascii character cause a 500 error,SAK-49490,67014,Bug,Closed,Critical,Fixed,Miguel Pellicer,22-11-2023 06:33,05-12-2023 23:43,28-11-2023 06:03,critical
Portal: Uncaught TypeError: Cannot read property of null (reading 'classList'),SAK-49667,67194,Bug,Resolved,Major,Incorporated,kunaljaykam,23-01-2024 18:09,07-04-2024 09:41,14-03-2024 10:50,major
Profile remove deprecated hibernate template,SAK-50266,67793,Improvement,In QA,Major,Fixed,Andrea Schmidt,28-06-2024 14:37,02-07-2024 19:49,02-07-2024 11:45,major
Move search tool cs into library,SAK-49997,67522,Bug,Resolved,Minor,Fixed,Adrian Fish,23-04-2024 10:03,29-07-2024 13:18,25-04-2024 05:51,blocker
Turnitin submit queue return an externalId=0 despite saying it is successful,SAK-49754,67281,Bug,Closed,Critical,Fixed,Bryan Holladay,13-02-2024 09:30,21-02-2024 08:05,20-02-2024 15:39,blocker
Portal: Can not navigate between tool of unpinned site.,SAK-49333,66857,Bug,Closed,Blocker,Fixed,Sean Horner,03-10-2023 04:55,10-11-2023 12:37,18-10-2023 11:48,blocker
Update Apache Commons Net 3.11.1,SAK-50208,67735,Bug,Resolved,Major,Fixed,David Horwitz,10-06-2024 23:59,17-07-2024 09:15,11-06-2024 14:21,major
Clicking on Reorder button doesn't do anything,SAK-50061,67586,Bug,Resolved,Minor,Incorporated,Matthew Jones,05-05-2024 17:55,05-05-2024 17:59,05-05-2024 17:59,minor
